Timestamp,X,Y,Z,Activity,HR
34:44.6,2.138022,3.126827,10.077195,sitting,87
34:44.7,1.16837,2.875436,8.865729,sitting,76
34:44.8,0.931344,3.145981,9.334992,sitting,78
34:44.9,0.691924,3.272874,8.746018,sitting,94
34:45.0,1.18513,3.397372,9.172187,sitting,83
34:45.0,1.180341,3.409343,9.16261,sitting,71
34:45.1,1.06542,3.342306,8.633492,sitting,87
34:45.2,1.577779,3.514688,9.77792,sitting,72
34:45.3,0.76375,3.280056,8.599973,sitting,86
34:45.4,0.988805,3.25372,9.234436,sitting,82
34:45.4,1.723825,4.127604,8.899248,sitting,78
34:45.5,-0.019154,2.959233,9.006987,sitting,87
34:45.6,0.871489,2.645593,9.097966,sitting,78
34:45.7,1.034295,3.031059,9.378088,sitting,83
34:45.8,1.197101,3.368642,9.212888,sitting,74
34:45.8,0.931344,3.44765,8.927979,sitting,70
34:45.9,0.486023,3.533842,9.059659,sitting,87
34:46.0,1.482011,4.1707,9.294291,sitting,89
34:46.1,0.584185,3.643975,9.11712,sitting,89
34:46.2,1.417367,3.184288,9.085996,sitting,72
34:46.2,1.235408,3.3447,8.884883,sitting,70
34:46.3,1.347936,3.306392,9.229648,sitting,88
34:46.4,1.292869,3.452439,8.920795,sitting,83
34:46.5,1.127669,3.301604,8.755595,sitting,73
34:46.6,1.467646,3.313575,9.320627,sitting,84
34:46.6,1.417367,3.411737,8.966286,sitting,73
34:46.7,1.21386,3.397372,9.150639,sitting,80
34:46.8,1.283292,3.342306,9.081207,sitting,69
34:46.9,1.438915,3.507505,8.927979,sitting,70
34:47.0,1.182736,3.397372,8.975863,sitting,88
34:47.0,1.23062,3.380613,8.954314,sitting,87
34:47.1,1.381454,3.378219,9.126697,sitting,69
34:47.2,1.211466,3.339911,9.114726,sitting,92
34:47.3,1.23062,3.366248,8.947132,sitting,94
34:47.4,1.237802,3.363853,9.047688,sitting,79
34:47.4,1.252167,3.315969,9.102755,sitting,89
34:47.5,1.194707,3.29921,9.062054,sitting,87
34:47.6,1.228225,3.258508,9.208099,sitting,92
34:47.7,1.340753,3.371036,9.021352,sitting,92
34:47.8,1.302446,3.339911,9.035717,sitting,81
34:47.8,1.122881,3.222595,9.148245,sitting,74
34:47.9,1.297657,3.320758,9.02614,sitting,79
34:48.0,1.316811,3.354277,9.102755,sitting,71
34:48.1,1.233014,3.330335,8.975863,sitting,76
34:48.2,1.347936,3.306392,9.076419,sitting,84
34:48.2,1.280898,3.361459,9.114726,sitting,94
34:48.3,1.182736,3.366248,9.030929,sitting,91
34:48.4,1.18513,3.22499,9.160215,sitting,92
34:48.5,1.244985,3.284845,9.124303,sitting,79
34:48.6,1.218649,3.25372,9.030929,sitting,69
34:48.6,1.244985,3.3447,9.074024,sitting,69
34:48.7,1.201889,3.246537,9.112331,sitting,80
