Timestamp,X,Y,Z,Activity
36:33.0,-0.881066,-7.445967,4.654328,running
36:33.1,-6.59842,-12.555194,6.232107,running
36:33.2,-4.295198,-6.426037,6.251261,running
36:33.3,-0.608127,-1.84593,-2.650381,running
36:33.4,5.547365,-17.51119,0.229843,running
36:33.4,-2.410961,-7.764396,3.514688,running
36:33.5,-10.828975,-14.614207,9.904813,running
36:33.6,-0.3304,-4.707001,-0.773327,running
36:33.7,-2.346318,-4.422091,1.170765,running
36:33.8,-2.918532,-11.59033,7.275979,running
36:33.8,-4.826711,-6.663064,4.783615,running
36:33.9,-0.926556,-5.408502,-3.28245,running
36:34.0,7.680599,-6.615179,6.064513,running
36:34.1,-13.962984,-14.937425,1.673547,running
36:34.2,-5.528212,-17.719486,-0.138864,running
36:34.2,-0.897826,-6.265626,1.977611,running
36:34.3,-1.951274,-1.795651,-0.984017,running
36:34.4,-3.375824,-10.575189,1.484405,running
36:34.5,-7.742848,-20.791248,2.650381,running
36:34.6,-0.433351,-4.738125,1.082179,running
36:34.6,0.725443,-0.708684,0.016759,running
36:34.7,-0.174777,-20.879833,0.828394,running
36:34.8,0.514753,-5.224148,2.607286,running
36:34.9,-6.823475,-11.216835,8.391677,running
36:35.0,-1.980005,-7.872135,1.151611,running
36:35.0,0.086191,-1.127669,0.799663,running
36:35.1,-6.658275,-16.476896,4.733337,running
36:35.2,-0.574608,-8.856153,5.269638,running
36:35.3,-5.56173,-2.525883,6.016629,running
36:35.4,5.547365,-7.891289,-1.30484,running
36:35.4,4.314352,-13.249513,4.453215,running
36:35.5,-7.364564,-17.585411,-4.584896,running
36:35.6,-4.862624,-14.06354,7.141904,running
36:35.7,-4.177882,-7.25922,0.59855,running
36:35.8,-1.130063,-8.540117,1.398214,running
36:35.8,-2.061408,-9.540894,10.508151,running
36:35.9,0.155623,-3.77805,7.716512,running
36:36.0,0.85473,-3.541024,3.246537,running
36:36.1,2.049437,-14.405911,-11.025299,running
36:36.2,-16.237476,-19.730616,-2.77488,running
36:36.2,-4.977545,-14.331692,7.40766,running
36:36.3,-5.365406,-8.192958,-0.251391,running
36:36.4,-4.022259,1.508347,-0.885855,running
36:36.5,-5.765238,-11.736377,3.878607,running
36:36.6,-4.106056,-17.233463,3.473987,running
36:36.6,-2.767697,-7.833828,2.698265,running
36:36.7,4.115633,-1.431733,-2.135628,running
36:36.8,4.223372,-4.209007,2.671929,running
36:36.9,0.21069,-11.307815,9.902418,running
36:37.0,-7.165846,-12.231977,4.60405,running
36:37.0,-1.005565,-4.381389,-0.632069,running
36:37.1,1.067814,-0.308852,0.179565,running
36:37.2,-3.157952,-20.082563,5.911284,running
36:37.3,-1.78368,-12.89517,5.753267,running
36:37.4,-1.417367,-5.08289,3.895366,running
36:37.4,0.818817,-2.231396,0.828394,running
36:37.5,6.335058,-7.884106,-3.383007,running
36:37.6,5.961562,-1.862689,7.441179,running
36:37.7,-9.289502,-15.859192,8.449138,running
36:37.8,-2.106898,-9.01417,1.000776,running
36:37.8,-1.881842,-1.266533,-1.932121,running
36:37.9,-0.349553,-13.800179,7.24246,running
36:38.0,-0.579397,-5.305551,7.596802,running
36:38.1,-3.069367,-3.837905,7.022193,running
36:38.2,1.841141,-3.385401,-0.828394,running
36:38.2,2.109292,-13.010092,5.592855,running
36:38.3,-6.715736,-19.773712,-0.069432,running
36:38.4,0.718261,-5.947197,-1.122881,running
36:38.5,-2.056619,-4.151546,-0.814029,running
36:38.6,-2.217031,-14.14255,6.847417,running
